x,t=1.00e+02s,t=1.70e+04s,t=8.00e+05s
1.470387755102040657e-03,9.962887917946862290e+05,4.111924774164839000e+15,1.724387839954482400e+16
1.592836734693877385e-03,1.049190407530141674e+05,3.890721859795131000e+15,1.701430535803986000e+16
1.531612244897959021e-03,3.246812053418682190e+05,3.999318553618132000e+15,1.712909184237100600e+16
1.654061224489795749e-03,3.364268405695847468e+04,3.786123165243188000e+15,1.689951894652909800e+16
1.592836734693877385e-03,1.049190407530140074e+05,3.890721859795130000e+15,1.701430535803985200e+16
1.715285714285714113e-03,1.071150419785715712e+04,3.685509789161117500e+15,1.678473260779419200e+16
1.654061224489795749e-03,3.364268405695842375e+04,3.786123165243187500e+15,1.689951894652909000e+16
1.776510204081632478e-03,3.388376120982338307e+03,3.588867946563042500e+15,1.666994634176835400e+16
1.715285714285714113e-03,1.071150419785713348e+04,3.685509789161115500e+15,1.678473260779417800e+16
1.837734693877550842e-03,1.065486933377553669e+03,3.496182797232619000e+15,1.655516014836257000e+16
1.776510204081632478e-03,3.388376120982332395e+03,3.588867946563040500e+15,1.666994634176834600e+16
1.898959183673469206e-03,3.332212501354162555e+02,3.407438494241027500e+15,1.644037402746562600e+16
1.837734693877550842e-03,1.065486933377552305e+03,3.496182797232618500e+15,1.655516014836256400e+16
1.960183673469387787e-03,1.036904531871265362e+02,3.322618231806125000e+15,1.632558797894410400e+16
1.898959183673469206e-03,3.332212501354157439e+02,3.407438494241027500e+15,1.644037402746561000e+16
2.021408163265306368e-03,3.211756188368524079e+01,3.241704292274880000e+15,1.621080200264254400e+16
1.960183673469387787e-03,1.036904531871263657e+02,3.322618231806124500e+15,1.632558797894409800e+16
2.082632653061224515e-03,9.906145372084301570e+00,3.164678092017214000e+15,1.609601609838331600e+16
2.021408163265306368e-03,3.211756188368521947e+01,3.241704292274879000e+15,1.621080200264253400e+16
2.143857142857142663e-03,3.043488881030429472e+00,3.091520226026142500e+15,1.598123026596679200e+16
2.082632653061224515e-03,9.906145372084280254e+00,3.164678092017213500e+15,1.609601609838329000e+16
2.205081632653061244e-03,9.317030332366222911e-01,3.022210511027066000e+15,1.586644450517137000e+16
2.143857142857142663e-03,3.043488881030423698e+00,3.091520226026141000e+15,1.598123026596676800e+16
2.266306122448979825e-03,2.842787913939820998e-01,2.956728026907695000e+15,1.575165881575359800e+16
2.205081632653061244e-03,9.317030332366218470e-01,3.022210511027062500e+15,1.586644450517135800e+16
2.327530612244897972e-03,8.647380582732672183e-02,2.895051156289822500e+15,1.563687319744818200e+16
2.266306122448979825e-03,2.842787913939820998e-01,2.956728026907692000e+15,1.575165881575359600e+16
2.388755102040816120e-03,2.623012909341201557e-02,2.837157622074521500e+15,1.552208764996800400e+16
2.327530612244897972e-03,8.647380582732654142e-02,2.895051156289819000e+15,1.563687319744816200e+16
2.449979591836734701e-03,7.935714868730209259e-03,2.783024522803696000e+15,1.540730217300441200e+16
2.388755102040816120e-03,2.623012909341196006e-02,2.837157622074519000e+15,1.552208764996799600e+16
2.511204081632653282e-03,2.395122437427194256e-03,2.732628365692718000e+15,1.529251676622714000e+16
2.449979591836734701e-03,7.935714868730197116e-03,2.783024522803696000e+15,1.540730217300441600e+16
2.572428571428571429e-03,7.212812340988521143e-04,2.685945097201627000e+15,1.517773142928444200e+16
2.511204081632653282e-03,2.395122437427189919e-03,2.732628365692718000e+15,1.529251676622713800e+16
2.633653061224489576e-03,2.167652799943694077e-04,2.642950131025591000e+15,1.506294616180326000e+16
2.572428571428571429e-03,7.212812340988500543e-04,2.685945097201627000e+15,1.517773142928444600e+16
2.694877551020408157e-03,6.502070247481000847e-05,2.603618373399001500e+15,1.494816096338926200e+16
2.633653061224489576e-03,2.167652799943688385e-04,2.642950131025589000e+15,1.506294616180325200e+16
2.756102040816326738e-03,1.947026872987571192e-05,2.567924245621965000e+15,1.483337583362704000e+16
2.694877551020408157e-03,6.502070247480988649e-05,2.603618373399001000e+15,1.494816096338925800e+16
2.817326530612244886e-03,5.824146742348932897e-06,2.535841703732503500e+15,1.471859077208018000e+16
2.756102040816326738e-03,1.947026872987568481e-05,2.567924245621964000e+15,1.483337583362703800e+16
2.878551020408163033e-03,1.750712976756614808e-06,2.507344255262854500e+15,1.460380577829137800e+16
2.817326530612244886e-03,5.824146742348921886e-06,2.535841703732499500e+15,1.471859077208017200e+16
2.939775510204081614e-03,5.630713352621233958e-07,2.482404973033535000e+15,1.448902085178265600e+16
2.878551020408163033e-03,1.750712976756612055e-06,2.507344255262849500e+15,1.460380577829137000e+16
3.001000000000000195e-03,3.062686538728538331e-07,2.460996505954309500e+15,1.437423599205548000e+16
2.939775510204081614e-03,5.630713352621227605e-07,2.482404973033534000e+15,1.448902085178264600e+16
3.001020408163265416e-03,1.604222444343812615e-09,1.289182799322379102e+13,7.529884618776428125e+13
3.001000000000000195e-03,1.637800288090128184e-09,1.316040912275032227e+13,7.686757215002925000e+13
3.001040816326530636e-03,1.570654094374866826e-09,1.262324694729595703e+13,7.373012022550096875e+13
3.001020408163265416e-03,1.604222444343812615e-09,1.289182799322379688e+13,7.529884618776429688e+13
3.001061224489796290e-03,1.537095039527563473e-09,1.235466598321946289e+13,7.216139426320581250e+13
3.001040816326530636e-03,1.570654094374866826e-09,1.262324694729595312e+13,7.373012022550089062e+13
3.001081632653061510e-03,1.503545081203182226e-09,1.208608509926409375e+13,7.059266830094553125e+13
3.001061224489796290e-03,1.537095039527564714e-09,1.235466598321946484e+13,7.216139426320581250e+13
3.001102040816326730e-03,1.470004020854553477e-09,1.181750429368249609e+13,6.902394233868670312e+13
3.001081632653061510e-03,1.503545081203182846e-09,1.208608509926409375e+13,7.059266830094550000e+13
3.001122448979591951e-03,1.436471659987744549e-09,1.154892356473304297e+13,6.745521637642935156e+13
3.001102040816326730e-03,1.470004020854553684e-09,1.181750429368248828e+13,6.902394233868671094e+13
3.001142857142857171e-03,1.402947800160174552e-09,1.128034291067406641e+13,6.588649041417338281e+13
3.001122448979591951e-03,1.436471659987744756e-09,1.154892356473303711e+13,6.745521637642935156e+13
3.001163265306122391e-03,1.369432242979437302e-09,1.101176232976395703e+13,6.431776445191885156e+13
3.001142857142857171e-03,1.402947800160174552e-09,1.128034291067406445e+13,6.588649041417340625e+13
3.001183673469388045e-03,1.335924790101428795e-09,1.074318182025535156e+13,6.274903848963228906e+13
3.001163265306122391e-03,1.369432242979437509e-09,1.101176232976395703e+13,6.431776445191881250e+13
3.001204081632653266e-03,1.302425243232012731e-09,1.047460138041804688e+13,6.118031252738040625e+13
3.001183673469388045e-03,1.335924790101429002e-09,1.074318182025536133e+13,6.274903848963231250e+13
3.001224489795918486e-03,1.268933404121586148e-09,1.020602100850467383e+13,5.961158656512980469e+13
3.001204081632653266e-03,1.302425243232012110e-09,1.047460138041804297e+13,6.118031252738041406e+13
3.001244897959183706e-03,1.235449074566754253e-09,9.937440702773603516e+12,5.804286060288044531e+13
3.001224489795918486e-03,1.268933404121585527e-09,1.020602100850467383e+13,5.961158656512982031e+13
3.001265306122448927e-03,1.201972056408449001e-09,9.668860461483189453e+12,5.647413464063231250e+13
3.001244897959183706e-03,1.235449074566753839e-09,9.937440702773611328e+12,5.804286060288045312e+13
3.001285714285714581e-03,1.168502151530046640e-09,9.400280282886097656e+12,5.490540867835199219e+13
3.001265306122448927e-03,1.201972056408448794e-09,9.668860461483193359e+12,5.647413464063230469e+13
3.001306122448979801e-03,1.135039161859048952e-09,9.131700165252095703e+12,5.333668271610624219e+13
3.001285714285714581e-03,1.168502151530047674e-09,9.400280282886103516e+12,5.490540867835202344e+13
3.001326530612245021e-03,1.101582889361636893e-09,8.863120106833845703e+12,5.176795675386154688e+13
3.001306122448979801e-03,1.135039161859048952e-09,9.131700165252097656e+12,5.333668271610624219e+13
3.001346938775510242e-03,1.068133136044355143e-09,8.594540105889690430e+12,5.019923079161796875e+13
3.001326530612245021e-03,1.101582889361637513e-09,8.863120106833837891e+12,5.176795675386153906e+13
3.001367346938775462e-03,1.034689703952229447e-09,8.325960160678007812e+12,4.863050482937543750e+13
3.001346938775510242e-03,1.068133136044355350e-09,8.594540105889693359e+12,5.019923079161796094e+13
3.001387755102040682e-03,1.001252395167595735e-09,8.057380269457147461e+12,4.706177886713390625e+13
3.001367346938775462e-03,1.034689703952229861e-09,8.325960160678008789e+12,4.863050482937543750e+13
3.001408163265306336e-03,9.678210118082267711e-10,7.788800430479774414e+12,4.549305290486004688e+13
3.001387755102040682e-03,1.001252395167595529e-09,8.057380269457146484e+12,4.706177886713389844e+13
3.001428571428571557e-03,9.343953560289985034e-10,7.520220642015650391e+12,4.392432694262049219e+13
3.001408163265306336e-03,9.678210118082263576e-10,7.788800430479774414e+12,4.549305290486003906e+13
3.001448979591836777e-03,9.009752300164680021e-10,7.251640902317433594e+12,4.235560098038184375e+13
3.001428571428571557e-03,9.343953560289987102e-10,7.520220642015655273e+12,4.392432694262046875e+13
3.001469387755101997e-03,8.675604359905404338e-10,6.983061209643495117e+12,4.078687501814406250e+13
3.001448979591836777e-03,9.009752300164681055e-10,7.251640902317437500e+12,4.235560098038183594e+13
3.001489795918367218e-03,8.341507762025962214e-10,6.714481562252184570e+12,3.921814905590717188e+13
3.001469387755101997e-03,8.675604359905409508e-10,6.983061209643494141e+12,4.078687501814406250e+13
3.001510204081632872e-03,8.007460529336098283e-10,6.445901958396149414e+12,3.764942309363773438e+13
3.001489795918367218e-03,8.341507762025961180e-10,6.714481562252181641e+12,3.921814905590717188e+13
3.001530612244898092e-03,7.673460684958255236e-10,6.177322396345177734e+12,3.608069713140246875e+13
3.001510204081632872e-03,8.007460529336100351e-10,6.445901958396154297e+12,3.764942309363776562e+13
3.001551020408163312e-03,7.339506252273294222e-10,5.908742874351925781e+12,3.451197116916795703e+13
3.001530612244898092e-03,7.673460684958258338e-10,6.177322396345180664e+12,3.608069713140246875e+13
3.001571428571428533e-03,7.005595254937226649e-10,5.640163390674738281e+12,3.294324520693413281e+13
3.001551020408163312e-03,7.339506252273294222e-10,5.908742874351922852e+12,3.451197116916796484e+13
3.001591836734693753e-03,6.671725716862458894e-10,5.371583943571981445e+12,3.137451924470104688e+13
3.001571428571428533e-03,7.005595254937229751e-10,5.640163390674739258e+12,3.294324520693413281e+13
3.001612244897959407e-03,6.337895662199009102e-10,5.103004531296316406e+12,2.980579328243521875e+13
3.001591836734693753e-03,6.671725716862455792e-10,5.371583943571980469e+12,3.137451924470103906e+13
3.001632653061224627e-03,6.004103115351253456e-10,4.834425152117508789e+12,2.823706732020342188e+13
3.001612244897959407e-03,6.337895662199007034e-10,5.103004531296319336e+12,2.980579328243523828e+13
3.001653061224489848e-03,5.670346100923670368e-10,4.565845804288215820e+12,2.666834135797218750e+13
3.001632653061224627e-03,6.004103115351250354e-10,4.834425152117510742e+12,2.823706732020342188e+13
3.001673469387755068e-03,5.336622643737576407e-10,4.297266486066800293e+12,2.509961539574151953e+13
3.001653061224489848e-03,5.670346100923669334e-10,4.565845804288218750e+12,2.666834135797218750e+13
3.001693877551020288e-03,5.002930768812377222e-10,4.028687195711619141e+12,2.353088943351135547e+13
3.001673469387755068e-03,5.336622643737578475e-10,4.297266486066800293e+12,2.509961539574151562e+13
3.001714285714285509e-03,4.669268501353878442e-10,3.760107931481032715e+12,2.196216347128171484e+13
3.001693877551020288e-03,5.002930768812375154e-10,4.028687195711618164e+12,2.353088943351135547e+13
3.001734693877551163e-03,4.335633866735571233e-10,3.491528691627690918e+12,2.039343750901918359e+13
3.001714285714285509e-03,4.669268501353876374e-10,3.760107931481032715e+12,2.196216347128169531e+13
3.001755102040816383e-03,4.002024890515336177e-10,3.222949474421380371e+12,1.882471154679041016e+13
3.001734693877551163e-03,4.335633866735573818e-10,3.491528691627692871e+12,2.039343750901918359e+13
3.001775510204081603e-03,3.668439598381219512e-10,2.954370278114740234e+12,1.725598558456206055e+13
3.001755102040816383e-03,4.002024890515336177e-10,3.222949474421378906e+12,1.882471154679041797e+13
3.001795918367346824e-03,3.334876016168163897e-10,2.685791100966138672e+12,1.568725962233404102e+13
3.001775510204081603e-03,3.668439598381216410e-10,2.954370278114740234e+12,1.725598558456205469e+13
3.001816326530612044e-03,3.001332169839267086e-10,2.417211941233935059e+12,1.411853366010636914e+13
3.001795918367346824e-03,3.334876016168161829e-10,2.685791100966138672e+12,1.568725962233404688e+13
3.001836734693877698e-03,2.667806085467023016e-10,2.148632797170778320e+12,1.254980769784564453e+13
3.001816326530612044e-03,3.001332169839262950e-10,2.417211941233933594e+12,1.411853366010636719e+13
3.001857142857142918e-03,2.334295789250043270e-10,1.880053667046451416e+12,1.098108173561853320e+13
3.001836734693877698e-03,2.667806085467025084e-10,2.148632797170779541e+12,1.254980769784565430e+13
3.001877551020408139e-03,2.000799307458864075e-10,1.611474549113598877e+12,9.412355773391648438e+12
3.001857142857142918e-03,2.334295789250045338e-10,1.880053667046451416e+12,1.098108173561853516e+13
3.001897959183673359e-03,1.667314666452652253e-10,1.342895441630586426e+12,7.843629811164960938e+12
3.001877551020408139e-03,2.000799307458864850e-10,1.611474549113599609e+12,9.412355773391650391e+12
3.001918367346938579e-03,1.333839892660467770e-10,1.074316342855772461e+12,6.274903848938441406e+12
3.001897959183673359e-03,1.667314666452652512e-10,1.342895441630586426e+12,7.843629811164960938e+12
3.001938775510203800e-03,1.000373012569612893e-10,8.057372510475170898e+11,4.706177886712046875e+12
3.001918367346938579e-03,1.333839892660467253e-10,1.074316342855771973e+12,6.274903848938439453e+12
