t(s),Total solute volume 1,Total retention volume 1,Total 1 volume 1,Total 2 volume 1,Total 3 volume 1,Average T volume 1,Flux surface 1: solute,Flux surface 2: solute
925.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,4106.817645780911,-803277142.0227801,-803251809.9734327
926.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,4110.817645780917,-803354667.9737235,-803329333.4795272
926.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,4114.8176457809095,-803432050.659634,-803406713.7251068
927.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,4118.817645780892,-803509290.4769096,-803483951.106557
927.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,4122.817645780907,-803586387.8204887,-803561046.0188037
928.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,4126.817645780893,-803663343.0838565,-803637998.8553199
928.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,4130.817645780918,-803740156.6590521,-803714810.008132
929.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,4134.817645780901,-803816828.9366753,-803791479.8678277
929.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,4138.817645780916,-803893360.3058925,-803868008.823561
930.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,4142.817645780909,-803969751.1544434,-803944397.2630594
930.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,4146.817645780891,-804046001.868648,-804020645.5726309
931.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,4150.817645780905,-804122112.8334132,-804096754.1371701
931.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,4154.8176457808895,-804198084.4322382,-804172723.340164
932.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,4158.817645780914,-804273917.047222,-804248553.5636997
932.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,4162.817645780914,-804349611.0590692,-804324245.1884699
933.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,4166.817645780921,-804425166.8470967,-804399798.5937793
933.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,4170.817645780899,-804500584.7892395,-804475214.1575512
934.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,4174.817645780891,-804575865.2620577,-804550492.2563336
934.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,4178.8176457808995,-804651008.6407423,-804625633.2653059
935.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,4182.817645780888,-804726015.2991209,-804700637.5582837
935.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,4186.817645780918,-804800885.6096656,-804775505.5077275
936.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,4190.817645780925,-804875619.943497,-804850237.4847461
936.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,4194.817645780917,-804950218.6703913,-804924833.8591042
937.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,4198.817645780899,-805024682.158787,-804999294.9992284
937.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,4202.8176457808895,-805099010.7757899,-805073621.2722131
938.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,4206.817645780895,-805173204.8871795,-805147813.0438263
938.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,4210.817645780919,-805247264.8574152,-805221870.6785159
939.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,4214.817645780913,-805321191.0496418,-805295794.5394152
939.8522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,4218.817645780923,-805394983.8256961,-805369584.9883496
940.3522057226132,61981.88160294435,283281200.9171615,165.55095619535933,283151592.19193006,67461.29267246545,4222.817645780916,-805468643.546112,-805443242.3858415
